	#	#	#	#	#	#	#	#	HP	HP	HP	HP	HP	HP	HP	HP	Attack	Attack	Attack	Attack	Attack	Attack	Attack	Attack	Defense	Defense	Defense	Defense	Defense	Defense	Defense	Defense	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Atk	Sp. Def	Sp. Def	Sp. Def	Sp. Def	Sp. Def	Sp. Def	Sp. Def	Sp. Def	Speed	Speed	Speed	Speed	Speed	Speed	Speed	Speed	Generation	Generation	Generation	Generation	Generation	Generation	Generation	Generation	Total	Total	Total	Total	Total	Total	Total	Total	Total2	Total2	Total2	Total2	Total2	Total2	Total2	Total2	per_of_max_hp	per_of_max_hp	per_of_max_hp	per_of_max_hp	per_of_max_hp	per_of_max_hp	per_of_max_hp	per_of_max_hp
	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
Type 1																																																																																								
Bug	69.0	334.4927536231884	210.44516004863186	10.0	168.0	291.0	543.0	666.0	69.0	56.88405797101449	16.328913576378106	1.0	45.0	60.0	70.0	86.0	69.0	70.97101449275362	37.04090386653364	10.0	45.0	65.0	90.0	185.0	69.0	70.72463768115942	33.61760920654313	30.0	50.0	60.0	90.0	230.0	69.0	53.869565217391305	26.697054829566685	10.0	35.0	50.0	65.0	135.0	69.0	64.79710144927536	32.12639546529454	20.0	45.0	60.0	80.0	230.0	69.0	61.68115942028985	33.22759871376556	5.0	36.0	60.0	85.0	160.0	69.0	3.217391304347826	1.5984327362376602	1.0	2.0	3.0	5.0	6.0	69.0	378.92753623188406	117.87522301651659	194.0	269.0	395.0	475.0	600.0	69.0	378.92753623188406	117.87522301651659	194.0	269.0	395.0	475.0	600.0	69.0	0.2230747371412333	0.06403495520148278	0.00392156862745098	0.17647058823529413	0.23529411764705882	0.27450980392156865	0.33725490196078434
Dark	31.0	461.35483870967744	176.0220721741257	197.0	282.0	509.0	627.0	717.0	31.0	66.80645161290323	21.07829745629172	35.0	51.0	65.0	73.5	126.0	31.0	88.38709677419355	25.774247379060157	50.0	65.0	88.0	100.0	150.0	31.0	70.2258064516129	25.12198197783415	30.0	51.0	70.0	90.0	125.0	31.0	74.64516129032258	33.20095218222592	30.0	45.0	65.0	96.5	140.0	31.0	69.51612903225806	24.799020098573703	30.0	50.0	65.0	87.5	130.0	31.0	76.16129032258064	27.768203367873294	20.0	59.0	70.0	98.5	125.0	31.0	4.032258064516129	1.3536092732085316	2.0	3.0	5.0	5.0	6.0	31.0	445.741935483871	109.12621675287612	220.0	359.0	465.0	510.0	680.0	31.0	445.741935483871	109.12621675287612	220.0	359.0	465.0	510.0	680.0	31.0	0.2619860847564832	0.08265999002467342	0.13725490196078433	0.2	0.2549019607843137	0.28823529411764703	0.49411764705882355
Dragon	32.0	474.375	170.19016877712735	147.0	373.0	443.5	643.25	718.0	32.0	83.3125	23.795414982587474	41.0	67.5	80.0	101.25	125.0	32.0	112.125	33.74262165465262	50.0	86.25	113.5	134.25	180.0	32.0	86.375	24.102937847972512	35.0	68.75	90.0	100.0	130.0	32.0	96.84375	42.25736001936765	30.0	60.0	105.0	122.5	180.0	32.0	88.84375	29.884842824501543	30.0	70.0	90.0	105.0	150.0	32.0	83.03125	23.239960544911266	40.0	65.25	90.0	97.75	120.0	32.0	3.875	1.4312187452567107	1.0	3.0	4.0	5.0	6.0	32.0	550.53125	146.26753754788714	300.0	420.0	600.0	680.0	780.0	32.0	550.53125	146.26753754788714	300.0	420.0	600.0	680.0	780.0	32.0	0.32671568627450986	0.09331535287289204	0.1607843137254902	0.2647058823529412	0.3137254901960784	0.3970588235294118	0.49019607843137253
Electric	44.0	363.5	202.73106254575353	25.0	179.75	403.5	489.75	702.0	44.0	59.79545454545455	17.30651113585752	20.0	50.0	60.0	70.0	90.0	44.0	69.0909090909091	23.764169023698095	30.0	53.75	65.0	85.0	123.0	44.0	66.29545454545455	24.75703287013146	15.0	49.75	65.0	80.0	115.0	44.0	90.02272727272727	29.74034034021462	35.0	65.0	95.0	106.0	165.0	44.0	73.70454545454545	22.60127547898471	32.0	55.0	79.5	90.0	110.0	44.0	84.5	26.691606554591583	35.0	60.0	88.0	101.5	140.0	44.0	3.272727272727273	1.6046971222391537	1.0	2.0	4.0	4.25	6.0	44.0	443.40909090909093	105.72195173294949	205.0	362.25	477.5	520.0	610.0	44.0	443.40909090909093	105.72195173294949	205.0	362.25	477.5	520.0	610.0	44.0	0.23449197860962567	0.06786867112100987	0.0784313725490196	0.19607843137254902	0.23529411764705882	0.27450980392156865	0.35294117647058826
Fairy	17.0	449.52941176470586	271.98394200004225	35.0	176.0	669.0	683.0	716.0	17.0	74.11764705882354	23.587290944863657	35.0	55.0	78.0	90.0	126.0	17.0	61.529411764705884	29.751297549558288	20.0	45.0	52.0	72.0	131.0	17.0	65.70588235294117	18.979478081214303	28.0	50.0	66.0	75.0	95.0	17.0	78.52941176470588	28.548462408374167	40.0	60.0	75.0	99.0	131.0	17.0	84.70588235294117	29.721130332396413	40.0	65.0	79.0	98.0	154.0	17.0	48.588235294117645	23.305200126606433	15.0	30.0	45.0	60.0	99.0	17.0	4.117647058823529	2.1471595463884507	1.0	2.0	6.0	6.0	6.0	17.0	413.1764705882353	123.78168043682679	218.0	323.0	405.0	483.0	680.0	17.0	413.1764705882353	123.78168043682679	218.0	323.0	405.0	483.0	680.0	17.0	0.2906574394463668	0.0924991801759359	0.13725490196078433	0.21568627450980393	0.3058823529411765	0.35294117647058826	0.49411764705882355
Fighting	27.0	363.85185185185185	218.5651995143473	56.0	171.5	308.0	536.0	701.0	27.0	69.85185185185185	25.85269470213547	30.0	50.0	70.0	79.0	144.0	27.0	96.77777777777777	28.290163190291665	35.0	80.0	100.0	120.0	145.0	27.0	65.92592592592592	18.57816320705974	30.0	54.0	70.0	79.5	95.0	27.0	53.111111111111114	28.159345126417943	20.0	35.0	40.0	62.5	140.0	27.0	64.70370370370371	22.74577697882335	30.0	49.0	63.0	75.0	110.0	27.0	66.07407407407408	26.05456689028731	25.0	45.0	60.0	86.0	118.0	27.0	3.3703703703703702	1.8006013557045997	1.0	1.5	3.0	5.0	6.0	27.0	416.44444444444446	102.46437780003701	210.0	326.5	455.0	497.5	625.0	27.0	416.44444444444446	102.46437780003701	210.0	326.5	455.0	497.5	625.0	27.0	0.2739288307915759	0.10138311647896263	0.11764705882352941	0.19607843137254902	0.27450980392156865	0.30980392156862746	0.5647058823529412
Flamer	52.0	327.40384615384613	226.26284035628456	4.0	143.5	289.5	513.25	721.0	52.0	69.90384615384616	19.404122884506886	38.0	58.0	70.0	80.0	115.0	52.0	84.76923076923077	28.76927513083263	30.0	62.25	84.5	101.0	160.0	52.0	67.76923076923077	23.658199577309748	37.0	51.0	64.0	78.0	140.0	52.0	88.98076923076923	30.042121008524003	15.0	70.0	85.0	109.0	159.0	52.0	72.21153846153847	22.61990840852934	40.0	54.75	67.5	85.0	154.0	52.0	74.4423076923077	25.24578276685657	20.0	60.0	78.5	96.25	126.0	52.0	3.2115384615384617	1.8506653648375635	1.0	1.0	3.0	5.0	6.0	52.0	458.0769230769231	109.76049615338438	250.0	368.0	482.0	534.0	680.0	52.0	458.0769230769231	109.76049615338438	250.0	368.0	482.0	534.0	680.0	52.0	0.274132730015083	0.07609459954708582	0.14901960784313725	0.22745098039215686	0.27450980392156865	0.3137254901960784	0.45098039215686275
Flying	4.0	677.75	42.43720851642656	641.0	641.0	677.5	714.25	715.0	4.0	70.75	20.694202086574876	40.0	69.25	79.0	80.5	85.0	4.0	78.75	37.5	30.0	60.0	85.0	103.75	115.0	4.0	66.25	21.360009363293827	35.0	61.25	75.0	80.0	80.0	4.0	94.25	34.76947895305115	45.0	84.0	103.5	113.75	125.0	4.0	72.5	22.173557826083453	40.0	70.0	80.0	82.5	90.0	4.0	102.5	32.09880579294708	55.0	97.0	116.0	121.5	123.0	4.0	5.5	0.5773502691896257	5.0	5.0	5.5	6.0	6.0	4.0	485.0	161.40012391568973	245.0	462.5	557.5	580.0	580.0	4.0	485.0	161.40012391568973	245.0	462.5	557.5	580.0	580.0	4.0	0.2774509803921569	0.08115373367284265	0.1568627450980392	0.2715686274509804	0.30980392156862746	0.3156862745098039	0.3333333333333333
