Pandas Descriptive analysis of the Pokemon Type Grass
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count   70.000000   70.000000   70.000000  ...   70.000000   70.000000   70.000000
mean   344.871429   67.271429   73.214286  ...   70.428571   61.928571    3.357143
std    200.264385   19.516564   25.380520  ...   21.446645   28.506456    1.579173
min      1.000000   30.000000   27.000000  ...   30.000000   10.000000    1.000000
25%    187.250000   51.250000   55.000000  ...   55.000000   40.000000    2.000000
50%    372.000000   65.500000   70.000000  ...   66.000000   58.500000    3.500000
75%    496.750000   75.000000   93.500000  ...   85.000000   80.000000    5.000000
max    673.000000  123.000000  132.000000  ...  129.000000  145.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Fire
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count   52.000000   52.000000   52.000000  ...   52.000000   52.000000   52.000000
mean   327.403846   69.903846   84.769231  ...   72.211538   74.442308    3.211538
std    226.262840   19.404123   28.769275  ...   22.619908   25.245783    1.850665
min      4.000000   38.000000   30.000000  ...   40.000000   20.000000    1.000000
25%    143.500000   58.000000   62.250000  ...   54.750000   60.000000    1.000000
50%    289.500000   70.000000   84.500000  ...   67.500000   78.500000    3.000000
75%    513.250000   80.000000  101.000000  ...   85.000000   96.250000    5.000000
max    721.000000  115.000000  160.000000  ...  154.000000  126.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Water
                #          HP      Attack  ...     Sp. Def       Speed  Generation
count  112.000000  112.000000  112.000000  ...  112.000000  112.000000  112.000000
mean   303.089286   72.062500   74.151786  ...   70.517857   65.964286    2.857143
std    188.440807   27.487026   28.377192  ...   28.460493   23.019353    1.558800
min      7.000000   20.000000   10.000000  ...   20.000000   15.000000    1.000000
25%    130.000000   52.250000   53.000000  ...   50.000000   50.000000    1.000000
50%    275.000000   70.000000   72.000000  ...   65.000000   65.000000    3.000000
75%    456.250000   90.250000   92.000000  ...   89.250000   82.000000    4.000000
max    693.000000  170.000000  155.000000  ...  160.000000  122.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Bug
                #         HP      Attack  ...     Sp. Def       Speed  Generation
count   69.000000  69.000000   69.000000  ...   69.000000   69.000000   69.000000
mean   334.492754  56.884058   70.971014  ...   64.797101   61.681159    3.217391
std    210.445160  16.328914   37.040904  ...   32.126395   33.227599    1.598433
min     10.000000   1.000000   10.000000  ...   20.000000    5.000000    1.000000
25%    168.000000  45.000000   45.000000  ...   45.000000   36.000000    2.000000
50%    291.000000  60.000000   65.000000  ...   60.000000   60.000000    3.000000
75%    543.000000  70.000000   90.000000  ...   80.000000   85.000000    5.000000
max    666.000000  86.000000  185.000000  ...  230.000000  160.000000    6.000000

[8 rows x 8 columns]
Pandas Descriptive analysis of the Pokemon Type Normal
                #         HP      Attack  ...     Sp. Def       Speed  Generation
count   98.000000   98.00000   98.000000  ...   98.000000   98.000000   98.000000
mean   319.173469   77.27551   73.469388  ...   63.724490   71.551020    3.051020
std    193.854820   36.23343   30.295862  ...   25.142801   28.406157    1.575407
min     16.000000   30.00000    5.000000  ...   20.000000    5.000000    1.000000
25%    161.250000   55.00000   55.000000  ...   43.500000   50.000000    2.000000
