,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total,Total2,per_of_max_hp,The_Man,count
0,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False,318,318,0.17647058823529413,False,1
1,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False,405,405,0.23529411764705882,False,1
2,3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,False,525,525,0.3137254901960784,False,1
3,3,VenusaurMega Venusaur,Grass,Poison,80,100,123,122,120,80,1,False,625,625,0.3137254901960784,False,1
48,43,Oddish,Grass,Poison,45,50,55,75,65,30,1,False,320,320,0.17647058823529413,False,1
49,44,Gloom,Grass,Poison,60,65,70,85,75,40,1,False,395,395,0.23529411764705882,False,1
50,45,Vileplume,Grass,Poison,75,80,85,110,90,50,1,False,490,490,0.29411764705882354,False,1
75,69,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,False,300,300,0.19607843137254902,False,1
76,70,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,False,390,390,0.2549019607843137,False,1
77,71,Victreebel,Grass,Poison,80,105,65,100,70,70,1,False,490,490,0.3137254901960784,False,1
344,315,Roselia,Grass,Poison,50,60,45,100,80,65,3,False,400,400,0.19607843137254902,False,1
451,406,Budew,Grass,Poison,40,30,35,50,70,55,4,False,280,280,0.1568627450980392,False,1
452,407,Roserade,Grass,Poison,60,70,65,125,105,90,4,False,515,515,0.23529411764705882,False,1
651,590,Foongus,Grass,Poison,69,55,45,55,55,15,5,False,294,294,0.27058823529411763,False,1
652,591,Amoonguss,Grass,Poison,114,85,70,85,80,30,5,False,464,464,0.4470588235294118,False,1
